,Accuracy,Precision,Recall,F1-score
Random Forest,0.9518950437317785,0.9532163742690059,0.9504373177842566,0.9518248175182482
SVM (RBF),0.934402332361516,0.9331395348837209,0.9358600583090378,0.9344978165938864
