area,perimetro,excentricidade,solidez,extensao,diam_eq,circularidade,hu1,hu2,hu3,hu4,hu5,hu6,hu7,media_B,std_B,media_G,std_G,media_R,std_R,contraste,homogeneidade,energia,correlacao
84549.0,1355.3494218736669,0.312269911016429,0.9784404943757812,0.7838045795865394,328.10231676690927,0.5783833597063365,0.792320838670641,4.158525896881078,4.457582325333913,6.365426087414258,-9.992916295957317,-8.61665173065729,9.998719088458026,70.35090803960209,35.76116482201942,164.8253543065504,33.02878186113068,146.9237341137321,36.42027299358282,11.919961319596833,0.5463489378356983,0.12173004879531804,0.9977407081612583
114198.0,3762.7080784633235,0.7069925156546103,0.7866826485905597,0.6074620196604111,381.31536754983546,0.10136016534934397,0.7050130534710644,2.3609931736162517,2.839668259593546,3.3777277570919324,6.487183271186525,4.558223054844229,7.678307533254881,58.591632405443384,37.33051887415003,62.75327554752489,46.68888129455781,127.03971683208071,39.13638455386668,39.89020097286226,0.49001287212646083,0.18874034036625348,0.99707377145629
26069.0,712.3401871576773,0.28715513171440527,0.9729780166461389,0.783182118608424,182.18694160587074,0.6455937896195312,0.7974415524988614,4.3270230058308705,6.150438843612767,9.31050134464436,9.999999980606992,9.98927792902044,-9.999999979744334,89.87582952932603,23.450519190182025,186.65894357282596,26.464534343461768,167.66051632206836,24.100763744162013,51.03287108371855,0.44707123632685114,0.05893207826806052,0.9886466337512195
22669.0,876.8498551495554,0.3482904657603082,0.9347270328220353,0.7575271512113617,169.89133950734924,0.3705030243080435,0.7945590508129687,3.8685167935483586,4.37756623112103,7.7421262579527035,9.999941215557076,9.52694063747008,9.99996592159011,70.60465834399399,35.79005209088382,64.941903039393,34.68742121105556,162.90198067845955,35.15134699176999,49.033344537815125,0.3270784477598594,0.0993321786602551,0.9944356811431349
94662.0,1548.3616151824867,0.1590505068073625,0.9731380107941403,0.7662457503642545,347.1705658371976,0.49618170512715726,0.7975092656494881,5.071799982706652,5.019494148979523,9.02026875615913,9.999999669804431,9.992263911709097,-9.99999994129821,69.28252952911745,35.82551513218262,70.20999187223576,36.18341965514506,175.15625362846617,30.22236465304793,40.65031008507046,0.4164578969536697,0.09092398714750309,0.9949322410836723
23332.0,724.6244584051392,0.29148243930469586,0.965728476821192,0.7533255843988118,172.3578401401016,0.5583877141544397,0.7974092933253956,4.303366729294873,5.455440202854252,9.168321230806637,9.999999992971887,9.99268791254454,9.999999887046227,72.11846391222356,37.02865187574901,72.07050402880165,36.363414552519984,174.9649408537631,28.59438169578896,70.98408987596596,0.33194089136433863,0.07271164122894765,0.9909897187621182
124138.0,2402.5079348883237,0.29560802650764995,0.9641037589313451,0.7494762517131248,397.56434775308213,0.27026197537339197,0.7894234149444299,4.27230944358151,4.744768767571752,6.065227439831449,-9.985543726445995,-8.466715565247114,9.999580072670108,75.12834103981054,34.94534613146182,65.8126681596288,34.22359559992736,175.51580499121945,32.31320135684843,51.466749379652605,0.39764445350012145,0.08438284320559042,0.9932594147895325
69389.0,1555.8590898655448,0.42360407100983566,0.928852538016706,0.697096644564999,297.2352919315407,0.36021348716721396,0.7889535820617752,3.699053907492026,4.152587456188853,5.8930849740222495,-9.951189106670606,-7.747278681970995,-9.989702149089212,46.17441306391582,32.23857864410271,66.0923514790918,50.19117808979213,145.57595075274634,34.70933765791385,28.15488032249937,0.46951095496586354,0.12628787414675754,0.9974367655567944
62657.0,1720.5992052357224,0.3008139754956401,0.9410784019224993,0.729987300921557,282.44888060403264,0.265962266465295,0.7942115317008343,4.21363352562476,4.171084690708606,6.9428794144186705,9.999698013017886,-9.527663278637629,9.998663738587386,57.33873310244665,48.82721920355733,65.60700320794164,46.309753220295256,140.6019439168808,43.423012236101876,67.63518189469747,0.3602002179011227,0.12757576765325132,0.994276400608958
63101.0,1487.1423150924802,0.6854407425615402,0.8937059173441351,0.6727185501066099,283.4478585425078,0.35854283113766805,0.7418463963554768,2.5061033334895595,3.2246805991625926,3.926193069232344,7.5113953455921765,5.180454244306523,-8.145297836727229,94.64842078572447,38.68323609411167,170.4575363306445,35.99433699874792,165.75131931348156,41.2139358968568,17.406598811102082,0.5648864059148948,0.21467744119866694,0.997502052890969
